TIPUSCASDATA;COMARCACODI;COMARCADESCRIPCIO;MUNICIPICODI;MUNICIPIDESCRIPCIO;SEXECODI;SEXEDESCRIPCIO;TIPUSCASDESCRIPCIO;NUMCASOS
16/10/2020;02;ALT EMPORDA;17042;CAPMANY;1;Dona;Positiu PCR;1
22/07/2020;33;SEGRIA;25228;TORREFARRERA;1;Dona;Positiu PCR;4
31/10/2020;41;VALLES ORIENTAL;08135;MONTMELÓ;1;Dona;Positiu PCR;3
24/10/2020;21;MARESME;08006;ARENYS DE MAR;1;Dona;Positiu PCR;2
23/04/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu PCR;186
04/11/2020;20;GIRONES;17079;GIRONA;1;Dona;Positiu PCR;27
16/10/2020;35;SOLSONES;25146;NAVÈS;0;Home;Positiu PCR;1
03/10/2020;13;BARCELONES;08015;BADALONA;0;Home;Positiu PCR;19
06/08/2020;33;SEGRIA;25120;LLEIDA;0;Home;Positiu PCR;17
05/10/2020;41;VALLES ORIENTAL;08096;GRANOLLERS;0;Home;Positiu PCR;11
28/07/2020;41;VALLES ORIENTAL;08033;CALDES DE MONTBUI;0;Home;Positiu PCR;1
19/10/2020;10;BAIX EMPORDA;17117;PALAFRUGELL;0;Home;Positiu PCR;19
01/10/2020;34;SELVA;17189;LA CELLERA DE TER;0;Home;Positiu PCR;1
15/07/2020;41;VALLES ORIENTAL;08088;LA GARRIGA;0;Home;Positiu PCR;2
21/07/2020;38;URGELL;25217;TÀRREGA;1;Dona;Positiu PCR;3
15/07/2020;11;BAIX LLOBREGAT;08073;CORNELLÀ DE LLOBREGAT;0;Home;Positiu PCR;10
09/09/2020;11;BAIX LLOBREGAT;08089;GAVÀ;1;Dona;Positiu PCR;4
29/10/2020;38;URGELL;25217;TÀRREGA;0;Home;Positiu PCR;3
14/08/2020;20;GIRONES;17079;GIRONA;1;Dona;Positiu PCR;11
06/04/2020;40;VALLES OCCIDENTAL;08187;SABADELL;1;Dona;Positiu PCR;36
05/09/2020;34;SELVA;17009;ARBÚCIES;0;Home;Positiu PCR;1
17/03/2020;21;MARESME;08029;CABRERA DE MAR;1;Dona;Positiu PCR;2
04/11/2020;41;VALLES ORIENTAL;08124;MOLLET DEL VALLÈS;1;Dona;Positiu PCR;27
18/10/2020;11;BAIX LLOBREGAT;08263;SANT VICENÇ DELS HORTS;1;Dona;Positiu PCR;1
09/11/2020;11;BAIX LLOBREGAT;08196;SANT ANDREU DE LA BARCA;0;Home;Positiu PCR;8
26/03/2020;20;GIRONES;17079;GIRONA;0;Home;Positiu PCR;12
19/10/2020;21;MARESME;08163;PINEDA DE MAR;0;Home;Positiu PCR;18
19/03/2020;34;SELVA;17023;BLANES;1;Dona;Positiu PCR;2
18/03/2020;21;MARESME;08219;VILASSAR DE MAR;1;Dona;Positiu PCR;2
